ensembl	uniprot	cluster.cold	cluster.ctrl	description
Zm00001eb253390	B8A2N9	10	NA	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Zm00001eb260800	G8H382	1	3	ARGOS5 (Auxin regulated gene involved in organ size 5)
Zm00001eb263050	A0A804PR05	2	1	Uncharacterized protein
Zm00001eb267510	A0A1D6LIJ7	5	7	Vacuolar sorting protein 39
Zm00001eb269110	A0A804PSE5	7	4	CYCLOPS
Zm00001eb269300	A0A804PSY1	7	1	RING-type domain-containing protein
Zm00001eb274370	A0A1D6LQ48	8	2	F10K1.23
Zm00001eb277790	B4FBK2	7	4	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Zm00001eb280280	B6SWS1	4	6	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Zm00001eb280900	A0A1D6LX93	6	NA	Binding
Zm00001eb282310	A0A1D6LYR1	5	NA	arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase)
Zm00001eb282920	A0A1D6LZE9	9	NA	FACT complex subunit SSRP1
Zm00001eb284090	A0A1D6M079	3	3	Cytochrome P450 90D2 (3-dehydro-6-deoxoteasterone synthase)
Zm00001eb287100	A0A804Q2A9	6	7	AP2/ERF domain-containing protein
Zm00001eb287560	A0A1D6M3P4	9	NA	Germin-like protein
Zm00001eb295080	C0P4K3	5	7	Putative histone chaperone ASF1A
Zm00001eb295220	A0A804Q3E6	2	1	glutamate synthase (NADH) (EC 1.4.1.14)
Zm00001eb295840	B4FDU4	6	2	E3 SUMO-protein ligase MMS21
Zm00001eb296410	A0A1D6MDD2	6	6	Protein SUPPRESSOR OF PHYA-105 1
Zm00001eb298610	B4FNN7	6	NA	Protein KTI12 homolog
Zm00001eb299510	A0A1D6HRX7	8	2	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Zm00001eb300090	A0A1D6HSI6	5	7	Transcription factor TCP2
Zm00001eb300710	A0A804Q483	5	NA	histone deacetylase (EC 3.5.1.98)
Zm00001eb309960	A0A1D6I259	5	7	Pentatricopeptide repeat-containing protein
Zm00001eb316870	B4FQ72	4	5	Splicing factor U2af small subunit A
Zm00001eb318880	C0PFR0	6	7	Flap endonuclease GEN-like 1
Zm00001eb322970	C0HH83	4	6	Uncharacterized protein
Zm00001eb324600	A0A060CZ17	1	NA	GRAS transcription factor (Nodulation signaling pathway 2 protein)
Zm00001eb326410	C0P6D0	5	7	FRIGIDA-like protein
Zm00001eb326930	A0A1D6IJ10	9	NA	Protein LONGIFOLIA 2
Zm00001eb326950	A0A1D6IJ14	9	NA	Cytochrome P-450 17
Zm00001eb333280	K7UP46	5	NA	Empty pericarp7
Zm00001eb333480	K7VP08	1	NA	FPF1
Zm00001eb334160	A0A804UFA1	9	NA	NAC domain-containing protein
Zm00001eb334790	A0A1D6FD96	5	7	leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase)
Zm00001eb336730	K7VAP2	5	NA	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Zm00001eb344160	A0A804QQC8	4	NA	WRKY domain-containing protein
Zm00001eb345420	K7UTZ2	5	NA	RNA helicase (EC 3.6.4.13) (API5-interacting protein 1)
Zm00001eb350150	K7UZY9	1	NA	Protein UPSTREAM OF FLC
Zm00001eb353760	B4FTS9	8	NA	AtS40-3
Zm00001eb356300	C4J505	4	5	Cytochrome P450 family 722 subfamily A polypeptide 1
Zm00001eb358940	C0P4R7	5	7	Glycerol-3-phosphate acyltransferase 1
Zm00001eb361390	A0A1D6G382	5	7	Putative B3 DNA binding domain family protein
Zm00001eb361760	A0A804QW69	2	1	Protein kinase domain-containing protein
Zm00001eb362260	B6TLC8	1	NA	Cysteine protease XCP1 (Xylem cysteine proteinase 2)
Zm00001eb363310	A0A1D6G4R3	5	7	RNA-binding protein BRN1
Zm00001eb365710	C4JA45	5	7	60S ribosomal protein L5-1 homolog b
Zm00001eb366720	B6SZ83	4	4	Actin-1
Zm00001eb367930	A0A1D6G8M6	2	NA	ROTUNDIFOLIA like 8
Zm00001eb372610	A0A804UIJ5	3	NA	MADS-box domain-containing protein
Zm00001eb373420	K7W567	6	NA	Aminotransferase-like plant mobile domain family protein
Zm00001eb378810	B4G1P0	9	NA	Elongator complex protein 6
Zm00001eb379720	A0A804QYW2	3	6	Transcription factor VOZ1
Zm00001eb381980	A0A804R5Z0	1	NA	AT-hook motif nuclear-localized protein
Zm00001eb388460	A0A804R6M3	1	NA	Protein MONOCULM 1
Zm00001eb391750	K7WCC7	5	7	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase MurE homolog, chloroplastic (ZmMURE)
Zm00001eb392030	C4J969	9	8	Uncharacterized protein
Zm00001eb397260	A0A804UKF1	9	5	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
Zm00001eb400030	A0A1D6PGV0	6	3	Protein OBERON 4
Zm00001eb400130	C4J928	2	7	DL related protein (Drooping leaf ortholog2)
Zm00001eb402160	A0A1D6PJ52	5	7	Putative thaumatin domain family protein
Zm00001eb402810	B4FFD4	4	NA	CCT motif family protein (Orphans transcription factor)
Zm00001eb402830	K7VHH0	10	8	glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase)
Zm00001eb406480	C4JBM1	8	NA	Phytosulfokine [Cleaved into: Phytosulfokine-alpha (PSK-alpha) (Phytosulfokine-a); Phytosulfokine-beta (PSK-beta) (Phytosulfokine-b)]
Zm00001eb407970	A0A1D6IU37	9	8	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Zm00001eb410800	K7UD91	9	1	Auxin-binding protein 5
Zm00001eb417090	C4J9C7	7	4	protein-tyrosine-phosphatase (EC 3.1.3.48)
Zm00001eb417150	B7ZX64	6	7	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
Zm00001eb419430	K7UH69	1	5	Putative leucine-rich repeat receptor protein kinase family protein
Zm00001eb419620	A0A1D6J480	6	NA	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
Zm00001eb421200	C4J5H7	1	NA	Beta-13-N-Acetylglucosaminyltransferase family protein
Zm00001eb424050	C0PJC4	2	NA	BZIP domain-containing protein
Zm00001eb427470	A0A804UMI2	5	7	Protein YABBY 5
Zm00001eb433460	A0A1D6JHT6	3	3	Auxin response factor
Zm00001eb000200	B6SHN1	NA	4	Oleosin
Zm00001eb000540	A0A804LBZ9	NA	7	Protein PAIR1
Zm00001eb001630	A0A804LCL4	NA	7	BHLH domain-containing protein
Zm00001eb002520	A0A1D6JMR7	NA	2	60S ribosomal protein L5-1
Zm00001eb002930	A0A1D6JMZ4	NA	7	Pentatricopeptide repeat-containing protein chloroplastic
Zm00001eb003660	A0A1D6JNI1	NA	1	Leucine-rich repeat receptor-like protein kinase PXL1
Zm00001eb004710	A0A804LE26	NA	7	Flavin-containing monooxygenase (EC 1.-.-.-)
Zm00001eb008240	A0A1D6JSH7	NA	7	Plant mobile domain protein family
Zm00001eb008680	B6T6E1	NA	7	C2C2-YABBY transcription factor (DL related protein) (Drooping leaf ortholog1) (Protein DROOPING LEAF)
Zm00001eb008740	C4J1W8	NA	4	Zinc finger protein 8
Zm00001eb010160	A0A1D6JVI1	NA	6	Protein OBERON 3
Zm00001eb010280	A0A804LGX2	NA	3	TSL-kinase interacting protein 1
Zm00001eb012880	A0A804LI88	NA	2	ABC transporter G family member 5 (White-brown complex homolog protein 5)
Zm00001eb015500	A0A804LJI4	NA	6	Homeobox domain-containing protein
Zm00001eb019420	A0A1D6K593	NA	6	1-phosphatidylinositol-3-phosphate 5-kinase (EC 2.7.1.150) (FYVE finger-containing phosphoinositide kinase) (PIKfyve) (Phosphatidylinositol 3-phosphate 5-kinase type III)
Zm00001eb020850	A0A060CVM9	NA	3	GRAS transcription factor (Protein SHORT-ROOT)
Zm00001eb022250	A0A804LMQ8	NA	7	Pentatricopeptide repeat-containing protein
Zm00001eb023330	A0A1D6K8G2	NA	7	GATA transcription factor 2
Zm00001eb024070	A0A1D6K8V5	NA	7	Pentatricopeptide repeat-containing protein
Zm00001eb024150	A0A804LNK0	NA	3	VAN3-binding protein
Zm00001eb024740	B6TX99	NA	7	FAD-binding domain-containing protein
Zm00001eb026010	A0A317YCL1	NA	8	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Zm00001eb026560	A0A804LPN1	NA	8	Serine-threonine/tyrosine-protein kinase catalytic domain-containing protein
Zm00001eb030480	A0A1D6KEX9	NA	7	Vegetative storage protein
Zm00001eb032370	A0A1D6KGN8	NA	2	GATA zinc finger family protein
Zm00001eb032920	A0A1D6KGV0	NA	7	Epidermal patterning factor-like protein
Zm00001eb035030	A0A1D6KIX0	NA	7	SBP-domain protein 5 (Unbranched2)
Zm00001eb039020	A0A1D6KM68	NA	8	Protein UPSTREAM OF FLC
Zm00001eb040240	B6SY44	NA	2	Cytochrome P450 CYP78A53
Zm00001eb041050	A0A1D6KNR0	NA	7	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Zm00001eb041540	A0A1D6KP56	NA	7	Myb domain protein 106
Zm00001eb041850	Q9FYS5	NA	7	HMG-Y-related protein A (ZmHMGA) (High mobility group A protein)
Zm00001eb041890	A0A804LWM3	NA	7	Myb-like domain-containing protein
Zm00001eb043940	Q7X9M6	NA	7	C2C2-YABBY-transcription factor 12 (Yabby10 protein)
Zm00001eb044710	A0A804LY41	NA	7	DNA-directed RNA polymerase subunit beta (EC 2.7.7.6)
Zm00001eb047560	B4FA01	NA	7	Pentatricopeptide repeat-containing protein
Zm00001eb047750	O65215	NA	4	Zinc finger protein ID1
Zm00001eb048150	A0A1D6KVC0	NA	7	Glycerol-3-phosphate acyltransferase 5
Zm00001eb048540	A0A1D6KVT1	NA	3	Cytochrome P450 CYP78A1
Zm00001eb051310	B4FJW0	NA	7	G2-like transcription factor
Zm00001eb055900	A0A804M382	NA	2	Epidermal patterning factor-like protein
Zm00001eb055950	C0HEY9	NA	5	1-aminocyclopropane-1-carboxylate synthase (EC 4.4.1.14)
Zm00001eb056050	B6U8T2	NA	7	Growth-regulating factor
Zm00001eb056300	A5HEH4	NA	7	GRF-interacting factor 1 (ZmGIF1) (Protein ANGUSTIFOLIA 3 homolog)
Zm00001eb056350	A0A804M3G0	NA	7	Pep3/Vps18/deep orange beta-propeller domain-containing protein
Zm00001eb058150	A0A1D6L5J9	NA	7	Subtilisin-like protease
Zm00001eb058860	A0A1D6L670	NA	7	Putative xyloglucan glycosyltransferase 12
Zm00001eb059050	A0A1D6L6A5	NA	7	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Zm00001eb059920	C0PGB1	NA	7	TCP transcription factor (Transcription factor TCP2)
Zm00001eb060230	A0A804M5A1	NA	7	GATA-type domain-containing protein
Zm00001eb062680	A0A1D6L9Y0	NA	6	protein-serine/threonine phosphatase (EC 3.1.3.16)
Zm00001eb063720	B4FVB1	NA	3	Actin-1
Zm00001eb064420	A0A804M7C5	NA	8	CRIB domain-containing protein
Zm00001eb066640	A0A1D6DTV9	NA	7	Auxin response factor
Zm00001eb067180	A0A804M8Q1	NA	1	leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase)
Zm00001eb067270	D9HNT1	NA	7	Auxin response factor
Zm00001eb068540	C0PE77	NA	6	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
Zm00001eb068880	A0A1D6DWQ9	NA	8	ABC transporter B family member 19
Zm00001eb070050	A0A1D6DXQ9	NA	7	Homeodomain leucine zipper family IV protein
Zm00001eb071990	A0A1D6E0T2	NA	7	Floricaula/leafy-like transcription factor
Zm00001eb074640	A0A1D6E3X3	NA	6	Carotenoid cleavage dioxygenase7
Zm00001eb075520	B4FF18	NA	7	Axial regulator YABBY 1
Zm00001eb075810	B6TKK5	NA	3	Beta-expansin 3 (Expansin-B3)
Zm00001eb078170	A0A1D6E6U6	NA	7	Sister chromatid cohesion protein PDS5 B-B
Zm00001eb078440	O24575	NA	5	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase alpha chain; S-adenosylmethionine decarboxylase beta chain]
Zm00001eb080690	A0A1D6E944	NA	7	P-type R2R3 Myb protein
Zm00001eb092070	C0HDZ6	NA	1	Actin-1
Zm00001eb092480	Q70UV1	NA	7	WUSCHEL-related homeobox 3A (Narrow sheath protein 1)
Zm00001eb093200	A0A060CZD5	NA	7	Regulatory protein NPR5 (TRAF transcription factor)
Zm00001eb093560	B4FM46	NA	1	AP2-EREBP transcription factor
Zm00001eb093670	A0A1D6EIU2	NA	7	Protein SCARECROW
Zm00001eb095370	A0A1D6ELC9	NA	1	Leucine-rich repeat receptor-like tyrosine-protein kinase PXC3
Zm00001eb095640	A0A1D6ELK5	NA	7	Protein LONGIFOLIA 2
Zm00001eb099470	A0A804MNA3	NA	3	BHLH domain-containing protein
Zm00001eb099520	C0HDW4	NA	7	Aminotransferase-like plant mobile domain-containing protein
Zm00001eb103090	A0A1D6ETB7	NA	7	Flap endonuclease GEN-like 1
Zm00001eb108320	B4FAW4	NA	4	FRIGIDA-like protein
Zm00001eb111110	A0A1D6F436	NA	6	FPF1-like protein 1
Zm00001eb111890	A0A1D6F4U5	NA	8	D-alanine--D-alanine ligase family
Zm00001eb112430	A0A1D6F564	NA	5	ARGOS homolog3
Zm00001eb113470	A0A1D6F691	NA	6	Retinoblastoma-related protein 1
Zm00001eb113950	C0HG25	NA	7	Growth-regulating factor
Zm00001eb114080	A0A1D6F6Q3	NA	8	Phytosulfokine [Cleaved into: Phytosulfokine-alpha (PSK-alpha) (Phytosulfokine-a); Phytosulfokine-beta (PSK-beta) (Phytosulfokine-b)]
Zm00001eb115600	A0A804MVW8	NA	4	Nodulin homeobox
Zm00001eb115970	A0A1D6F8B0	NA	3	Glycerol-3-phosphate acyltransferase 3 (Putative glycerol-3-phosphate acyltransferase 2)
Zm00001eb117560	A0A1D6F9D0	NA	7	Transcription factor TCP2
Zm00001eb119240	A0A804MXK8	NA	6	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Zm00001eb124060	A0A1D6ML90	NA	1	Receptor kinase-like protein Xa21 (EC 2.7.11.1)
Zm00001eb131520	B4F9H0	NA	6	RING/U-box superfamily protein
Zm00001eb135860	B4FW77	NA	7	Pentatricopeptide repeat-containing protein mitochondrial
Zm00001eb136910	A0A1D6MX77	NA	8	Putative glycerol-3-phosphate acyltransferase 2
Zm00001eb137840	G1FMQ3	NA	2	Auxin-binding protein
Zm00001eb143370	A0A1D6N363	NA	2	Protein root UVB sensitive 1 chloroplastic
Zm00001eb143570	A0A804N8S5	NA	7	Stomagen C-terminal domain-containing protein
Zm00001eb145660	Q9AR51	NA	6	Floral homeotic protein PISTILLATA (Putative MADS-domain transcription factor)
Zm00001eb147550	C0PH80	NA	7	Phospholipid/glycerol acyltransferase domain-containing protein
Zm00001eb147630	A8Y7W0	NA	2	Putative wuschel homeobox protein
Zm00001eb149400	B6U780	NA	7	Epidermal patterning factor-like protein
Zm00001eb150140	B4F9Y7	NA	6	Transcription factor GAMYB (OsGAMyb)
Zm00001eb151090	B4FX49	NA	5	Protein kinase superfamily protein
Zm00001eb152090	A0A1D6NAN7	NA	1	Putative xyloglucan glycosyltransferase 12
Zm00001eb153590	B4FMT8	NA	7	tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase)
Zm00001eb157620	A0A1D6NGI0	NA	7	GATA transcription factor 19
Zm00001eb161540	A0A804NHT1	NA	4	Pyrrolo-quinoline quinone repeat domain-containing protein
Zm00001eb165460	K7U8Q7	NA	5	ATA15 protein
Zm00001eb168670	A0A804NL26	NA	3	1-phosphatidylinositol 4-kinase (EC 2.7.1.67)
Zm00001eb170830	K7TSM8	NA	5	Xyloglucan glycosyltransferase 4
Zm00001eb171720	C0PDK7	NA	7	HB transcription factor (Homeobox-leucine zipper protein MERISTEM L1) (Homeodomain leucine zipper family IV protein)
Zm00001eb172020	K7TT56	NA	6	Nuclear transcription factor Y subunit B-3
Zm00001eb172240	C4JBW4	NA	6	Putative MYB DNA-binding domain superfamily protein
Zm00001eb173960	K7TXH9	NA	8	Putative NAC domain transcription factor superfamily protein
Zm00001eb175850	B7ZYL3	NA	4	Protein UPSTREAM OF FLC
Zm00001eb177150	K7UTX1	NA	6	1-phosphatidylinositol-3-phosphate 5-kinase (EC 2.7.1.150) (FYVE finger-containing phosphoinositide kinase) (PIKfyve) (Phosphatidylinositol 3-phosphate 5-kinase type III)
Zm00001eb179290	A0A804NQZ7	NA	8	Myb-like domain-containing protein
Zm00001eb183490	K7UGA3	NA	7	Armadillo repeat-containing protein LFR
Zm00001eb184050	Q940E8	NA	3	Leucine-rich repeat receptor-like protein FASCIATED EAR2 (CLAVATA2-like protein)
Zm00001eb186820	B4FRF0	NA	6	Glutathione peroxidase
Zm00001eb187720	K7TZI1	NA	4	Putative HLH DNA-binding domain superfamily protein
Zm00001eb189910	K7UJ45	NA	6	methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase)
Zm00001eb192730	A0A1D6QCK6	NA	7	mitogen-activated protein kinase kinase (EC 2.7.12.2)
Zm00001eb193180	A0A804NXA3	NA	7	Growth-regulating factor
Zm00001eb193190	C0PFF9	NA	1	Replication protein A subunit
Zm00001eb194040	A0A804NXN3	NA	7	Epidermal patterning factor-like protein
Zm00001eb194680	Q94JP1	NA	3	Putative Rop family GTPase ROP8 (Rho-related protein from plants 8)
Zm00001eb195650	Q9FUZ7	NA	7	Protein SCARECROW (ZmSCR)
Zm00001eb196470	A0A804NYV9	NA	7	Regulatory protein NPR central domain-containing protein
Zm00001eb197990	A0A804NZH9	NA	6	Retinoblastoma-related protein 2
Zm00001eb198700	B6T1S6	NA	7	HMG transcription factor (HMG1/2-like protein) (Nucleosome/chromatin assembly factor D)
Zm00001eb200540	A0A804P0T2	NA	5	Epidermal patterning factor-like protein
Zm00001eb201940	B6SYY5	NA	7	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
Zm00001eb202640	A0A804P1U3	NA	3	Protein kinase domain-containing protein
Zm00001eb202670	K7V4N7	NA	1	Putative MYB DNA-binding domain superfamily protein
Zm00001eb204110	B4FIG3	NA	7	BHLH transcription factor (Transcription factor SPEECHLESS)
Zm00001eb204180	B4FD84	NA	6	Abscisic acid receptor PYL9 (Pyrabactin resistance-like protein)
Zm00001eb208200	B4G0A3	NA	6	Transcription factor ABORTED MICROSPORES
Zm00001eb210540	B6SGY5	NA	8	RNA binding protein
Zm00001eb210980	B4FC73	NA	6	non-specific serine/threonine protein kinase (EC 2.7.11.1)
